1694085989746|10|statement|connection 2|url jdbc:h2:tcp://localhost/~/Projects/h2/jpashop|     drop table if exists category CASCADE |     drop table if exists category CASCADE 
1694085989753|6|statement|connection 2|url jdbc:h2:tcp://localhost/~/Projects/h2/jpashop|     drop table if exists category_item CASCADE |     drop table if exists category_item CASCADE 
1694085989759|5|statement|connection 2|url jdbc:h2:tcp://localhost/~/Projects/h2/jpashop|     drop table if exists delivery CASCADE |     drop table if exists delivery CASCADE 
1694085989764|5|statement|connection 2|url jdbc:h2:tcp://localhost/~/Projects/h2/jpashop|     drop table if exists item CASCADE |     drop table if exists item CASCADE 
1694085989768|3|statement|connection 2|url jdbc:h2:tcp://localhost/~/Projects/h2/jpashop|     drop table if exists member CASCADE |     drop table if exists member CASCADE 
1694085989770|2|statement|connection 2|url jdbc:h2:tcp://localhost/~/Projects/h2/jpashop|     drop table if exists order_item CASCADE |     drop table if exists order_item CASCADE 
1694085989772|1|statement|connection 2|url jdbc:h2:tcp://localhost/~/Projects/h2/jpashop|     drop table if exists orders CASCADE |     drop table if exists orders CASCADE 
1694085989773|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/Projects/h2/jpashop|     drop sequence if exists hibernate_sequence|     drop sequence if exists hibernate_sequence
1694085989776|1|statement|connection 3|url jdbc:h2:tcp://localhost/~/Projects/h2/jpashop|create sequence hibernate_sequence start with 1 increment by 1|create sequence hibernate_sequence start with 1 increment by 1
1694085989778|2|statement|connection 3|url jdbc:h2:tcp://localhost/~/Projects/h2/jpashop|     create table category (        category_id bigint not null,         name varchar(255),         parent_id bigint,         primary key (category_id)     )|     create table category (        category_id bigint not null,         name varchar(255),         parent_id bigint,         primary key (category_id)     )
1694085989781|3|statement|connection 3|url jdbc:h2:tcp://localhost/~/Projects/h2/jpashop|     create table category_item (        category_id bigint not null,         item_id bigint not null     )|     create table category_item (        category_id bigint not null,         item_id bigint not null     )
1694085989784|1|statement|connection 3|url jdbc:h2:tcp://localhost/~/Projects/h2/jpashop|     create table delivery (        delivery_id bigint not null,         city varchar(255),         street varchar(255),         zipcode varchar(255),         status varchar(255),         primary key (delivery_id)     )|     create table delivery (        delivery_id bigint not null,         city varchar(255),         street varchar(255),         zipcode varchar(255),         status varchar(255),         primary key (delivery_id)     )
